City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Saint-Philippe,RE,67.59,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
5,Ghoti,IN,70.75,overcast clouds,19.7168,73.6245,Dewdrops Boutique Retreat
6,Port Alfred,ZA,67.24,clear sky,-33.5906,26.891,The Halyards Hotel
8,Souillac,MU,70.18,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
12,Jamestown,US,73.18,few clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
15,Biu,NG,71.1,overcast clouds,10.6129,12.1946,Emir's Palace
17,Deggendorf,DE,61.5,light rain,48.8333,12.9667,Hotel Gasthof Höttl Deggendorf
18,Salamanca,ES,69.58,overcast clouds,40.8333,-6.0,Palacio Carrascalino
19,Kontagora,NG,73.15,overcast clouds,10.3999,5.4695,Queens Guest Inn
22,Margate,GB,60.04,clear sky,51.3813,1.3862,Premier Inn Margate hotel
25,Ponta do Sol,PT,72.23,clear sky,32.6667,-17.1,Hotel do Campo
26,Ribeira Grande,PT,72.75,clear sky,38.5167,-28.7,Quinta da Meia Eira
32,Saint-Pierre,RE,67.68,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
35,Mahébourg,MU,70.09,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
39,Benguela,AO,69.04,clear sky,-12.5763,13.4055,Hotel Praia Morena
47,Nouadhibou,MR,71.58,clear sky,20.931,-17.0347,El Medina
48,Port Elizabeth,ZA,64.69,clear sky,-33.918,25.5701,39 On Nile Guest House
51,Faya,SA,66.72,scattered clouds,18.3851,42.4509,املاك خالد الشعشوع
55,Talnakh,RU,68.18,scattered clouds,69.4865,88.3972,Talnakh Hotel
58,Tena,EC,74.16,light rain,-0.9833,-77.8167,Hostal Tena Ñaui
63,Pokhara,NP,71.58,overcast clouds,28.2333,83.9833,Butterfly Lodge
66,Bad Langensalza,DE,60.22,broken clouds,51.1,10.65,Alpha Hotel - Hermann von Salza
67,Dudinka,RU,62.76,scattered clouds,69.4058,86.1778,Hotel Viktoria
68,Torbay,CA,66.97,few clouds,47.6666,-52.7314,Gallows Cove
69,Milove,UA,66.54,overcast clouds,49.3787,40.1302,СТРЕЛЕЦКАЯ СЛОБОДА
70,Marystown,CA,60.06,few clouds,47.1666,-55.1483,Marystown Hotel & Convention Centre
71,Santiago del Estero,AR,62.8,scattered clouds,-27.7951,-64.2615,Apartamentos Castelli 90
72,Arraial do Cabo,BR,66.16,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
74,Coruripe,BR,71.46,broken clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
76,Sambava,MG,67.44,few clouds,-14.2667,50.1667,Melrose
79,Caravelas,BR,68.47,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
83,Bambous Virieux,MU,70.05,few clouds,-20.3428,57.7575,Casa Tia Villa
88,Kurchum,KZ,68.07,scattered clouds,48.5722,83.6542,"Gostinitsa ""Kneda"""
91,Charagua,BO,72.97,broken clouds,-19.8,-63.2167,Hotel
93,Fougamou,GA,74.17,broken clouds,-1.2154,10.5838,Résidence d'Hôtes Bapedy
98,Puerto Carreño,CO,72.18,overcast clouds,6.189,-67.4859,Casa Hotel Victoria
101,Morondava,MG,68.52,clear sky,-20.2833,44.2833,La Case Bambou
106,Saint-Ambroise,CA,70.12,broken clouds,48.5501,-71.3324,Motel Saint-Ambroise
107,Vallenar,CL,63.1,few clouds,-28.5708,-70.7581,Humacao Bed & Breakfast
108,Naryan-Mar,RU,63.73,overcast clouds,67.6713,53.087,Hostel Agat
110,Los Llanos de Aridane,ES,67.75,clear sky,28.6585,-17.9182,Valle Aridane
112,East London,ZA,67.05,clear sky,-33.0153,27.9116,Tu Casa
114,Kintampo,GH,72.66,broken clouds,8.0563,-1.7306,Adomaa Memorial Hotel
118,Arrifes,PT,70.05,broken clouds,37.7667,-25.7,Hotel Ponta Delgada
119,Sechura,PE,73.47,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
136,São José da Tapera,BR,65.82,broken clouds,-9.5583,-37.3811,Pousada Felicia
142,Vila Velha,BR,74.97,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
144,Muros,ES,67.98,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
149,Mayumba,GA,73.11,broken clouds,-3.432,10.6554,LIKWALE LODGE
152,Betūl,IN,71.42,overcast clouds,21.9153,77.8961,STARiHotel Betul MP
153,Huarmey,PE,66.99,clear sky,-10.0681,-78.1522,Hotel Miramar
154,Dilla,ET,61.72,overcast clouds,6.41,38.31,Afomiya Pension
157,Nefteyugansk,RU,61.05,scattered clouds,61.0998,72.6035,Royal Plaza
162,Grand Gaube,MU,70.2,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
164,Dzaoudzi,YT,71.49,clear sky,-12.7887,45.2699,Le Rocher
