City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Ushuaia,AR,-54.8,-68.3,42.46,65,40,6.91,scattered clouds
Porto Nacional,BR,-10.7081,-48.4172,78.8,30,0,3.33,clear sky
Cape Town,ZA,-33.9258,18.4232,57.88,83,40,3.0,scattered clouds
Saint-Philippe,RE,-21.3585,55.7679,67.59,76,1,7.58,light rain
Crossville,US,35.949,-85.0269,79.43,58,1,9.22,haze
Ghoti,IN,19.7168,73.6245,70.75,97,100,12.82,overcast clouds
Port Alfred,ZA,-33.5906,26.891,67.24,32,0,7.2,clear sky
Tasiilaq,GL,65.6145,-37.6368,46.56,78,100,3.29,overcast clouds
Souillac,MU,-20.5167,57.5167,70.18,64,20,10.36,few clouds
Albacete,ES,38.8333,-2.0,73.18,56,0,10.36,clear sky
Busselton,AU,-33.65,115.3333,43.09,78,75,2.98,broken clouds
Carnarvon,AU,-24.8667,113.6333,48.27,47,0,10.36,clear sky
Jamestown,US,42.097,-79.2353,73.18,56,20,6.91,few clouds
Ilulissat,GL,69.2167,-51.1,46.42,87,36,4.61,scattered clouds
Iqaluit,CA,63.7506,-68.5145,44.33,87,75,17.0,broken clouds
Biu,NG,10.6129,12.1946,71.1,87,100,4.05,overcast clouds
Pangnirtung,CA,66.1451,-65.7125,46.4,81,75,3.44,broken clouds
Deggendorf,DE,48.8333,12.9667,61.5,78,100,6.42,light rain
Salamanca,ES,40.8333,-6.0,69.58,58,99,11.03,overcast clouds
Kontagora,NG,10.3999,5.4695,73.15,90,100,3.36,overcast clouds
Bredasdorp,ZA,-34.5322,20.0403,52.92,87,42,4.61,scattered clouds
Yar-Sale,RU,66.8333,70.8333,55.65,89,39,9.01,scattered clouds
Margate,GB,51.3813,1.3862,60.04,77,0,7.67,clear sky
Willowmore,ZA,-33.2926,23.4895,54.54,24,2,3.51,clear sky
Dikson,RU,73.5069,80.5464,47.52,84,99,7.25,overcast clouds
Ponta do Sol,PT,32.6667,-17.1,72.23,77,4,7.47,clear sky
Ribeira Grande,PT,38.5167,-28.7,72.75,86,1,5.5,clear sky
Saint George,US,37.1041,-113.5841,105.44,14,1,11.99,clear sky
Calamar,CO,10.2511,-74.9146,84.15,69,100,5.95,overcast clouds
Hermanus,ZA,-34.4187,19.2345,52.9,91,59,3.56,broken clouds
Mumbai,IN,19.0144,72.8479,80.58,89,75,11.5,broken clouds
Awjilah,LY,29.1081,21.2869,88.54,33,0,9.24,clear sky
Saint-Pierre,RE,-21.3393,55.4781,67.68,82,90,9.22,overcast clouds
Kerman,IR,30.2832,57.0788,76.86,36,75,0.0,broken clouds
Arlit,NE,18.7369,7.3853,99.59,18,41,6.98,scattered clouds
Mahébourg,MU,-20.4081,57.7,70.09,64,20,10.36,few clouds
Riofrío,CO,4.1571,-76.2885,80.85,81,100,3.69,overcast clouds
Ciudad Bolivar,VE,8.1222,-63.5497,77.52,80,67,6.98,broken clouds
Itapaci,BR,-14.9508,-49.5494,76.19,32,61,3.04,broken clouds
Benguela,AO,-12.5763,13.4055,69.04,88,2,2.24,clear sky
Chui,UY,-33.6971,-53.4616,49.46,92,4,4.88,clear sky
Honningsvåg,NO,70.9821,25.9704,47.88,81,100,12.37,overcast clouds
Carutapera,BR,-1.195,-46.02,76.75,82,85,4.27,overcast clouds
Vieux-Habitants,GP,16.0589,-61.7659,80.17,75,18,9.42,few clouds
Taoudenni,ML,22.6783,-3.9836,103.17,18,39,9.15,scattered clouds
Itarema,BR,-2.9248,-39.9167,76.84,81,51,6.35,broken clouds
Tacuarembó,UY,-31.7333,-55.9833,50.4,81,65,3.83,broken clouds
Nouadhibou,MR,20.931,-17.0347,71.58,83,0,8.05,clear sky
Port Elizabeth,ZA,-33.918,25.5701,64.69,48,0,17.27,clear sky
Mar del Plata,AR,-38.0023,-57.5575,55.42,39,0,4.61,clear sky
Mvuma,ZW,-19.2792,30.5283,46.33,75,0,6.02,clear sky
Faya,SA,18.3851,42.4509,66.72,72,50,6.22,scattered clouds
Rocha,UY,-34.4833,-54.3333,46.69,93,9,2.37,clear sky
Marsá Maţrūḩ,EG,31.3525,27.2453,80.8,89,40,8.05,scattered clouds
La Brea,HN,15.8,-85.9667,87.31,62,75,3.44,broken clouds
Talnakh,RU,69.4865,88.3972,68.18,57,29,4.92,scattered clouds
Jizan,SA,17.3333,42.6667,90.54,59,99,5.06,overcast clouds
Kiryat Gat,IL,31.61,34.7642,87.4,40,0,4.45,clear sky
Tena,EC,-0.9833,-77.8167,74.16,94,67,1.7,light rain
Narsaq,GL,60.9167,-46.05,48.42,94,100,1.7,light rain
Castro,BR,-24.7911,-50.0119,47.88,77,31,5.44,scattered clouds
Sisimiut,GL,66.9395,-53.6735,49.87,85,100,5.61,overcast clouds
Virginia,US,37.5481,-77.4467,77.25,67,90,5.01,overcast clouds
Pokhara,NP,28.2333,83.9833,71.58,86,100,2.95,overcast clouds
Makkah al Mukarramah,SA,21.4267,39.8261,87.13,49,58,3.96,broken clouds
Raja,SS,8.4596,25.678,67.6,96,84,4.12,broken clouds
Bad Langensalza,DE,51.1,10.65,60.22,100,75,3.04,broken clouds
Dudinka,RU,69.4058,86.1778,62.76,80,45,5.88,scattered clouds
Torbay,CA,47.6666,-52.7314,66.97,69,20,23.02,few clouds
Milove,UA,49.3787,40.1302,66.54,85,89,10.22,overcast clouds
Marystown,CA,47.1666,-55.1483,60.06,85,12,13.94,few clouds
Santiago del Estero,AR,-27.7951,-64.2615,62.8,35,31,6.89,scattered clouds
Arraial do Cabo,BR,-22.9661,-42.0278,66.16,82,75,5.75,broken clouds
George Town,MY,5.4112,100.3354,80.53,92,20,5.99,few clouds
Coruripe,BR,-10.1256,-36.1756,71.46,86,57,9.62,broken clouds
Punta Arenas,CL,-53.15,-70.9167,44.71,70,75,19.57,broken clouds
Sambava,MG,-14.2667,50.1667,67.44,89,13,10.18,few clouds
Kathu,TH,7.9178,98.3332,82.69,92,100,19.8,overcast clouds
Olafsvik,IS,64.8945,-23.7142,54.32,89,99,5.88,moderate rain
Caravelas,BR,-17.7125,-39.2481,68.47,84,75,5.28,broken clouds
Urengoy,RU,65.9667,78.3667,58.57,92,100,5.46,light rain
San Cristobal,VE,7.7669,-72.225,77.18,91,99,5.17,overcast clouds
Dingle,PH,10.9995,122.6711,81.18,81,100,8.75,overcast clouds
Bambous Virieux,MU,-20.3428,57.7575,70.05,64,20,10.36,few clouds
Paamiut,GL,61.994,-49.6678,44.92,94,100,7.96,light rain
Sørland,NO,67.667,12.6934,52.03,84,99,13.24,overcast clouds
Sinnamary,GF,5.3833,-52.95,78.58,79,13,7.49,few clouds
Sompeta,IN,18.9333,84.6,82.15,71,99,4.76,overcast clouds
Kurchum,KZ,48.5722,83.6542,68.07,44,32,3.38,scattered clouds
São Filipe,CV,14.8961,-24.4956,75.36,96,100,11.14,overcast clouds
Saldanha,ZA,-33.0117,17.9442,50.05,94,7,7.34,clear sky
Charagua,BO,-19.8,-63.2167,72.97,44,58,0.96,broken clouds
Nicoya,CR,10.1483,-85.452,81.95,87,100,1.72,overcast clouds
Fougamou,GA,-1.2154,10.5838,74.17,83,59,2.66,broken clouds
Toro,CO,4.6117,-76.0814,83.08,86,100,4.38,overcast clouds
Kangasala,FI,61.4638,24.076,52.14,75,11,8.52,few clouds
Ţahţā,EG,26.7693,31.5021,89.71,18,5,5.28,clear sky
Santa Rosa,PH,14.3122,121.1114,83.1,76,100,9.13,overcast clouds
Puerto Carreño,CO,6.189,-67.4859,72.18,92,100,2.35,overcast clouds
Arvika,SE,59.6553,12.5852,50.61,67,96,1.57,overcast clouds
Grindavik,IS,63.8424,-22.4338,55.35,93,75,9.22,broken clouds
Morondava,MG,-20.2833,44.2833,68.52,57,0,9.82,clear sky
Qaanaaq,GL,77.484,-69.3632,41.68,98,100,5.7,overcast clouds
Kargasok,RU,59.0556,80.8572,52.68,96,50,0.87,scattered clouds
Ust'-Koksa,RU,50.2696,85.6108,53.24,85,24,1.5,few clouds
Portsmouth,GB,50.799,-1.0913,59.97,88,81,1.99,broken clouds
Saint-Ambroise,CA,48.5501,-71.3324,70.12,40,59,11.5,broken clouds
Vallenar,CL,-28.5708,-70.7581,63.1,55,16,2.84,few clouds
Naryan-Mar,RU,67.6713,53.087,63.73,74,99,14.94,overcast clouds
Mosquera,CO,4.7059,-74.2302,57.29,67,75,11.5,broken clouds
Los Llanos de Aridane,ES,28.6585,-17.9182,67.75,93,0,10.36,clear sky
Lüderitz,NA,-26.6481,15.1594,59.07,75,5,4.16,clear sky
East London,ZA,-33.0153,27.9116,67.05,25,0,7.07,clear sky
Coquimbo,CL,-29.9533,-71.3436,55.13,82,20,9.22,few clouds
Kintampo,GH,8.0563,-1.7306,72.66,89,58,5.01,broken clouds
Cabedelo,BR,-6.9811,-34.8339,75.87,84,85,13.76,overcast clouds
Consett,GB,54.854,-1.8316,57.36,88,46,3.67,scattered clouds
Iranshahr,IR,27.2025,60.6848,94.1,20,1,6.29,clear sky
Arrifes,PT,37.7667,-25.7,70.05,88,75,8.05,broken clouds
Sechura,PE,-5.5569,-80.8222,73.47,62,39,15.23,scattered clouds
São Miguel do Araguaia,BR,-13.275,-50.1628,78.71,27,29,3.38,scattered clouds
Bariloche,AR,-41.1456,-71.3082,51.44,51,0,4.61,clear sky
Oruro,BO,-17.9833,-67.15,46.13,51,87,8.28,light rain
Vryburg,ZA,-26.9566,24.7284,48.97,54,0,9.44,clear sky
Pavelets,RU,53.7883,39.246,60.58,75,38,7.0,scattered clouds
Ankazobe,MG,-18.3167,47.1167,52.21,94,17,5.59,few clouds
Santa Ana,US,33.7456,-117.8678,110.08,44,20,3.0,few clouds
St. George's,GD,12.0564,-61.7485,83.88,74,20,11.5,few clouds
Saint Anthony,US,45.0205,-93.218,86.94,41,1,6.91,clear sky
San Andrés,CO,12.5847,-81.7006,77.02,94,75,16.11,broken clouds
Pasni,PK,25.2631,63.471,80.28,85,33,11.88,scattered clouds
Båtsfjord,NO,70.6345,29.7185,46.62,93,100,26.08,light rain
Harindānga,IN,22.0383,88.3214,84.18,91,100,5.5,moderate rain
Luba,GQ,3.4568,8.5547,75.09,86,100,4.72,overcast clouds
Nanortalik,GL,60.1432,-45.2371,44.89,93,100,6.73,overcast clouds
Sioux Lookout,CA,50.1001,-91.917,86.38,50,90,3.44,smoke
São José da Tapera,BR,-9.5583,-37.3811,65.82,93,78,6.2,broken clouds
Gamba,GA,-2.65,10.0,76.46,78,82,7.61,broken clouds
Dalbandin,PK,28.8947,64.4101,84.49,10,0,6.55,clear sky
Ylöjärvi,FI,61.5563,23.5961,51.78,75,0,6.91,clear sky
Clyde River,CA,70.4692,-68.5914,41.23,87,75,18.41,broken clouds
Jalu,LY,29.0331,21.5482,89.98,21,0,8.88,clear sky
Vila Velha,BR,-20.3297,-40.2925,74.97,77,75,5.75,broken clouds
Eyl,SO,7.9803,49.8164,78.64,71,11,24.94,few clouds
Muros,ES,42.7762,-9.0603,67.98,95,100,4.07,overcast clouds
Hamilton,US,39.1834,-84.5333,81.45,44,1,1.01,clear sky
